home-18,overlooking-23,drop-25:recipient
clownfish-2,admire-12,view-14:recipient
clutch-5,lies-8,<NULL>
names-9,Excited-1,<NULL>
parents-1,flirt-2,playfully-3:modifier
appearance-15,distracted-12,attention-10:recipient
<NULL>,hide-6,<NULL>
Coral-8,moves-9,<NULL>
barracuda-6,knocks-7,out-9:verb_complement
barracuda-6,knocks-7,Marlin-8:recipient
Marlin-1,rushes-2,<NULL>
Coral-11,find-20,egg-24:recipient
Coral-11,manages-18,<NULL>
<NULL>,gone-16,Coral-11:recipient
<NULL>,gone-16,eggs-14:recipient
Coral-11,find-20,egg-24:recipient
Coral-11,manages-18,<NULL>
Coral-11,find-20,egg-24:recipient
Coral-11,manages-18,<NULL>
<NULL>,gone-16,Coral-11:recipient
<NULL>,gone-16,eggs-14:recipient
Coral-11,find-20,egg-24:recipient
Coral-11,manages-18,<NULL>
Coral-11,find-20,egg-24:recipient
Coral-11,manages-18,<NULL>
Marlin-8,discovers-9,<NULL>
Coral-11,find-20,egg-24:recipient
Coral-11,manages-18,<NULL>
Marlin-2,comes-3,When-1:modifier
Marlin-2,comes-3,night-6:attachment
Marlin-1,raises-2,further-8:modifier
Marlin-1,raises-2,reef-11:modified_to
Marlin-1,raises-2,Nemo_Alexander_Gould-3:recipient
Nemo-14,wakes-15,father-18:recipient
<NULL>,excited-13,<NULL>
<NULL>,take-20,care-21:recipient
<NULL>,showing-9,<NULL>
Marlin-1,helps-2,<NULL>
<NULL>,showing-9,<NULL>
Marlin-3,prepare-4,day-7:destination
Nemo-10,asks-11,Marlin-12:recipient
turtles-16,live-17,sea-15:recipient
Marlin-1,escorts-2,Nemo-3:recipient
Ray_Bob_Peterson-1,takes-7,children-9:recipient
Marlin-13,swims-14,<NULL>
Marlin-2,learns-3,When-1:modifier
Marlin-13,swims-14,<NULL>
children-5,going-7,drop-10:attachment
children-5,going-7,off-11:modifier
<NULL>,bored-16,<NULL>
Nemo-3,follows-4,<NULL>
Ranft-13,see-14,where-12:modifier
Ranft-13,see-14,boat-16:recipient
lesson-3,anchored-17,distance-20:is_participant_in
<NULL>,endangering-23,himself-24:recipient
Marlin-16,yells-19,<NULL>
Marlin-16,arrives-17,Nemo-21:site
<NULL>,endangering-23,himself-24:recipient
Marlin-16,yells-19,<NULL>
Ranft-1,dare-2,<NULL>
