story-2,opens-3,Utah-7:is_participant_in
troop-2,exploring-7,area-9:recipient
jacket-24,finds-25,where-11:modifier
jacket-24,finds-25,cross-27:recipient
<NULL>,finds-8,cave-10:recipient
<NULL>,attempting-16,<NULL>
<NULL>,escape-18,horseback-20:owner
<NULL>,takes-10,Indy-1:modifier
<NULL>,attempting-16,<NULL>
<NULL>,escape-18,horseback-20:owner
One-4,belongs-5,museum-8:is_participant_in
boards-11,train-14,<NULL>
mercenaries-6,followed-3,Jones-1:recipient
Jones-27,escapes-28,lion-23:raw_material
attempt-45,backlashes-46,wall-38:is_participant_in
Jones-6,finds-16,then-15:modifier
Jones-6,finds-16,himself-17:recipient
Jones-6,finds-16,car-20:is_participant_in
attempt-45,gives-48,cut-51:recipient
attempt-45,gives-48,Jones-49:recipient
<NULL>,using-30,bullwhip-32:recipient
Jones-33,finds-34,<NULL>
Jones-6,crawls-7,<NULL>
Indy-27,escapes-28,train-30:recipient
<NULL>,looks-53,<NULL>
<NULL>,drawing-51,<NULL>
<NULL>,working-49,<NULL>
Indy-27,takes-38,home-41:recipient
Indy-2,tries-4,When-1:modifier
Indy-2,tries-4,excitedly-3:modifier
father-15,rebuffs-16,prisoner-17:recipient
<NULL>,forced-51,Indy-49:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
hat-36,hired-39,mercenaries-41:recipient
<NULL>,forced-51,Indy-49:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
<NULL>,wearing-33,hat-36:recipient
<NULL>,forced-51,Indy-49:recipient
<NULL>,forced-51,Indy-49:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
businessman-32,bought-44,also-43:modifier
businessman-32,bought-44,law-46:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
<NULL>,forced-51,Indy-49:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
Sheriff-24,find-28,<NULL>
Indy-7,sent-9,Sheriff-12:destination
Indy-7,sent-9,whom-6:recipient
<NULL>,forced-51,Indy-49:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
hat-36,hired-39,mercenaries-41:recipient
<NULL>,forced-51,Indy-49:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
<NULL>,wearing-33,hat-36:recipient
<NULL>,forced-51,Indy-49:recipient
<NULL>,forced-51,Indy-49:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
businessman-32,bought-44,also-43:modifier
businessman-32,bought-44,law-46:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
<NULL>,forced-51,Indy-49:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
Sheriff-24,find-28,<NULL>
Sheriff-14,discovered-15,Sheriff-12:time
Sheriff-14,discovered-15,returns-19:recipient
Sheriff-14,discovered-15,when-13:modifier
<NULL>,forced-51,Indy-49:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
hat-36,hired-39,mercenaries-41:recipient
<NULL>,forced-51,Indy-49:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
<NULL>,wearing-33,hat-36:recipient
<NULL>,forced-51,Indy-49:recipient
<NULL>,forced-51,Indy-49:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
businessman-32,bought-44,also-43:modifier
businessman-32,bought-44,law-46:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
<NULL>,forced-51,Indy-49:recipient
Indy-49,surrender-53,cross-55:recipient
Indy-49,surrender-53,looters-58:attachment
Sheriff-24,find-28,<NULL>
Moments-1,scout-5,later-2:modifier
you-23,puts-32,fedora-34:recipient
you-23,like-28,time-29:recipient
you-23,puts-32,fedora-34:recipient
you-23,puts-32,fedora-34:recipient
