film-2,opens-3,June-15:is_participant_in
Zach_Hopkins-12,arrested-8,highway-4:location
Zach_Hopkins-12,arrested-8,Anton_Chigurh_Javier_Bardem-6:recipient
deputy-11,calls-12,Bell-14:recipient
deputy-11,calls-12,where-9:modifier
sheriffs-1,return-2,station-7:attachment
Deputy-1,tells-2,Sheriff-4:recipient
deputy-2,thinks-3,<NULL>
<NULL>,used-17,<NULL>
deputy-19,hangs-20,phone-23:recipient
deputy-19,hangs-20,up-21:verb_complement
deputy-19,hangs-20,just-16:modifier
who-10,sneaks-11,Deputy-14:support
who-10,sneaks-11,up-12:verb_complement
Chigurh-10,uses-22,once-16:modifier
Chigurh-10,uses-22,lights-26:recipient
Chigurh-10,steals-11,car-14:recipient
<NULL>,driving-36,sedan-39:recipient
<NULL>,siren-28,<NULL>
<NULL>,step-7,car-11:object
Deputy-1,asks-3,politely-2:modifier
Deputy-1,asks-3,man-5:recipient
<NULL>,attached-15,tank-20:attachment
<NULL>,presses-10,pistol-14:recipient
<NULL>,hold-7,still-8:modifier
<NULL>,attached-15,tank-20:attachment
<NULL>,presses-10,pistol-14:recipient
Chigurh-1,asks-3,then-2:modifier
Chigurh-1,asks-3,man-5:recipient
trigger-4,fires-7,skull-14:modified_to
trigger-4,fires-7,bolt-9:recipient
trigger-6,fires-7,skull-14:modified_to
trigger-6,fires-7,bolt-9:recipient
Chigurh-1,squeezes-2,<NULL>
Chigurh-1,drives-2,off-3:verb_complement
Chigurh-1,drives-2,car-8:is_participant_in
Llewelyn_Moss_Josh_Brolin-6,hunting-8,pronghorns-9:recipient
Llewelyn_Moss_Josh_Brolin-6,hunting-8,desert-4:is_participant_in
Llewelyn_Moss_Josh_Brolin-6,hunting-8,Elsewhere-1:modifier
Brolin-12,fires-13,<NULL>
Brolin-8,notices-9,trail-11:recipient
Brolin-8,notices-9,Walking-1:modifier
herd-5,stood-6,where-3:modifier
<NULL>,parked-14,middle-17:is_participant_in
Moss-7,comes-9,eventually-8:modifier
driver-15,remains-16,alive-17:object
criminals-2,lie-6,dead-7:object
bulls-5,lie-6,dead-7:object
Moss-9,says-10,<NULL>
driver-2,begs-3,Moss-4:recipient
man-8,get-17,not-16:negative
man-8,get-17,answer-19:recipient
Moss-1,asks-2,man-4:recipient
Moss-1,takes-3,pocket-20:raw_material
Moss-1,takes-3,gun-8:recipient
Moss-1,takes-3,seat-11:away_from_location
Moss-1,takes-3,carefully-2:modifier
Moss-11,sees-12,tarp-3:prep_under
what-13,appears-14,<NULL>
Moss-1,tracks-2,criminal-5:recipient
<NULL>,escaped-8,tree-13:attachment
<NULL>,escaped-8,shootout-10:recipient
<NULL>,filled-7,<NULL>
Moss-1,finds-2,case-6:recipient
Moss-1,takes-2,money-4:recipient
