synopsis-3,describes-4,version-7:recipient
<NULL>,See-1,details-6:destination
<NULL>,See-1,tab-4:recipient
Mononoke-2,is-3,adventure-6:recipient
gods-26,represented-21,nature-19:recipient
gods-26,represented-21,where-18:modifier
<NULL>,including-28,villain-30:recipient
<NULL>,competing-6,<NULL>
tangle-4,cursed-8,<NULL>
monsters-9,is-25,<NULL>
Demon-4,shrouded-16,mist-18:is_participant_in
Ashitaka-1,shrouded-16,mist-18:is_participant_in
film-6,opens-7,<NULL>
beasts-2,owe-15,Spirit-22:attachment
beasts-2,owe-15,allegiance-17:recipient
beasts-2,inhabit-6,forest-8:recipient
gods-5,inhabit-6,forest-8:recipient
beasts-2,owe-15,Spirit-22:attachment
beasts-2,owe-15,allegiance-17:recipient
beasts-2,says-10,voiceover-12:recipient
<NULL>,is-7,<NULL>
forest-2,disappearing-4,<NULL>
man-3,named-4,Ashitaka_Billy_Crudup-5:recipient
man-5,passes-6,way-3:location
man-5,passes-6,girls-9:recipient
oracle-8,ordering-17,village-21:attachment
oracle-8,ordering-17,everyone-18:recipient
oracle-8,ordering-17,village-21:attachment
oracle-8,ordering-17,everyone-18:recipient
oracle-8,sensed-13,trouble-14:recipient
man-1,tells-2,girls-4:recipient
Jisan-7,noticed-8,watchtower-13:raw_material
Jisan-7,noticed-8,something-9:recipient
Kaya-1,tells-2,Tara-3:recipient
Kaya-1,tells-2,man-6:recipient
<NULL>,sensing-6,something-7:recipient
<NULL>,sensing-6,deep-8:modifier
<NULL>,sensing-6,forest-11:is_participant_in
Tara-1,climbs-2,tower-4:recipient
Jisan-3,look-4,edge-7:attachment
Tara-1,look-4,edge-7:attachment
Ashitaka-12,jump-15,tree-21:attachment
beast-1,knocks-8,down-9:verb_complement
beast-1,knocks-8,tower-11:recipient
Ashitaka-12,manages-13,<NULL>
beast-1,breaks-2,<NULL>
demon-2,rushes-3,village-6:direction
villager-10,warns-11,villager-12:recipient
villager-19,let-22,villager-25:recipient
villager-19,let-22,must-20:modal_verb
villager-19,let-22,not-21:negative
beast-15,is-16,<NULL>
Ashitaka-2,mounts-3,When-1:modifier
Ashitaka-2,mounts-3,Yakul-4:recipient
<NULL>,begging-10,Yakul-11:recipient
<NULL>,begging-10,anger-16:attachment
Ashitaka-1,talks-2,demon-5:attachment
<NULL>,begging-10,Yakul-11:recipient
<NULL>,begging-10,anger-16:attachment
Yakul-7,runs-8,<NULL>
Ashitaka-1,leave-18,village-20:recipient
Ashitaka-1,leave-18,alone-21:modifier
<NULL>,run-11,village-14:attachment
Yakul-2,threatens-3,When-1:modifier
Yakul-2,threatens-3,girls-8:recipient
Yakul-2,threatens-3,Kaya-4:recipient
Ashitaka-16,attacks-22,demon-24:recipient
Ashitaka-16,takes-17,bow-20:recipient
demon-2,wraps-3,tendrils-6:recipient
Demon-14,shoots-15,just-12:modifier
Demon-14,shoots-15,head-22:modified_to
Demon-14,shoots-15,arrow-17:recipient
them-9,carrying-10,Hiisama-14:recipient
